,P_Z0_before,P_Z0_after,P_Z1_before,P_Z1_after,P_WH_before,P_WH_after,T_Z0_before,T_Z0_after,T_Z1_before,T_Z1_after,top_icv_status_before,top_icv_status_after,bottom_icv_status_before,bottom_icv_status_after,P_bottom_before,P_bottom_after,T_WH_before,T_WH_after,command_type,failure
0,782.9917741104019,781.5132377948653,721.9973353963344,732.6454037996917,228.07279338034581,222.7392374776461,88.9904434003866,88.01706442634234,88.25626743343265,91.84478376711888,True,True,True,False,784.543407553834,714.596127108084,71.2069399024655,72.9546533430688,Close_Bottom,True
1,823.4079683096842,836.2984274111841,785.2142984134993,786.7375403144554,114.3808737102819,109.46855294123338,85.85981294519019,88.94170679414327,90.35680342205775,87.28154799574777,True,True,False,True,733.144914614952,834.406636108185,82.4713400019185,82.4297749186708,Open_Bottom,False
2,783.1623562776923,781.606394325974,727.9052764078858,727.6907961641197,224.55498954207818,230.42138974714356,89.13839555903591,88.77338841870547,89.71190918694622,88.67259585274692,True,True,True,True,786.286632258761,785.434585757508,72.5598222969739,71.3299301498993,No-action,False
3,782.4346405672936,799.0914946328778,725.8122663426351,725.5026878971972,217.38066508141804,222.70166762853322,88.84055206414477,89.56173820636177,88.04766227734672,87.95119215592543,True,True,True,False,784.875415656821,709.494408248137,71.9728736308655,68.4816088521305,Close_Bottom,True
4,845.0244557062917,830.2987138274275,778.7279256202056,791.6555081683651,105.51632669309278,111.31421454440625,85.68081890248835,86.66465047677104,89.33098091067822,86.2111346298014,True,True,False,False,726.617208483391,737.64601366395,81.5821486101634,78.9782008568998,No-action,False
5,794.5080767782047,799.8480065733384,731.0746159694082,712.4114815435407,227.92267893909542,232.4038494272689,86.8953848813936,85.3526781854317,89.34024760521866,87.40361758970654,True,True,False,True,718.682635747955,792.460626763877,69.8910182153544,68.6678277345294,Open_Bottom,True
6,797.2461820585154,794.7047446397763,735.5735234689289,727.8487103879827,229.5205914413037,227.23295239556987,89.86987742203102,86.92091330820223,90.41371424367443,88.40998654112718,True,True,True,False,798.162623268365,711.719569167739,73.6841516526958,68.7565518419724,Close_Bottom,False
7,777.4805949495421,802.7794658109267,723.6045415396926,731.5664402543581,223.78897364823646,226.11018816620253,86.14940955634177,88.91926013319417,85.57838911630854,87.49156754161731,True,True,False,True,708.180929915719,800.398574835612,65.9256933516789,72.0579078098107,Open_Bottom,True
8,792.5157747809004,789.0277119419262,728.209540802313,729.014412978067,224.44867529523523,227.51521759603455,88.74899035874928,87.28129101592677,86.55987771055568,90.54081380250776,True,True,True,True,792.578588066245,790.672244761253,71.134021098806,72.0854500477056,No-action,False
9,852.0624249506227,829.7120836558903,787.6625140434297,778.2245290155524,249.3690082161717,247.61324180161446,88.39510729533357,84.87831629871935,84.1308567505674,85.5193687851363,True,False,True,True,851.163067084825,782.807091695753,72.3135192405752,65.0381382196386,Close_Top,True
10,783.2348684553992,769.6412211893257,722.4332689201951,722.2145635798976,224.75512647959926,220.00493159160553,89.65995900600826,88.12054809551664,86.71625251979019,89.82521026225882,False,True,True,True,740.019488326955,775.322963679584,67.8241451371542,71.8522031725396,Open_Top,True
11,773.3895646623322,774.2133068674599,722.3872954307503,712.5464037552796,220.59196088953246,224.33997449927773,86.82859661260464,87.94847262037592,91.82653510727953,89.11538417660321,True,False,True,True,777.955692881816,732.443118023033,72.4167611553403,65.4160063842708,Close_Top,True
12,795.4973454903835,785.9489367634146,732.973562010823,730.6510960381578,210.6545402941272,215.46608246967,91.07218370170018,91.32608436209891,87.84450506737369,88.52846471542249,False,True,True,True,747.700735953636,788.551749329109,71.3278807994381,73.8678849258905,Open_Top,True
13,838.1632057820082,850.4627649886536,787.3994594850462,772.8018561787055,414.2914238412022,416.007518990748,89.31627768325083,89.0603899978788,89.06417799341362,90.63344050124073,True,True,True,True,848.890931591508,851.963324796826,60.3728081127151,60.1508891929211,No-action,False
14,780.4049600847703,784.2004400973992,730.8437225469564,724.0896490172634,222.83945246723053,223.88069434588064,87.91120141902414,84.24252375494213,88.67802572388506,88.25801473550958,True,False,True,True,785.227420291106,740.718535624018,71.6253622050116,62.6662188012609,Close_Top,False
15,782.6321574684433,783.7200615879754,715.4990582506941,726.9401376549173,229.5073652660343,228.680518061267,86.80146878524637,90.20152041192763,86.47285223199518,88.53630373600923,False,False,True,True,740.374913427841,741.09611416564,64.5717541204761,68.0909060435442,No-action,False
16,793.5909741992066,779.6479128249015,731.1519790403455,725.7503900567172,222.87528982706658,220.38795199367382,88.09284652312827,87.19607943890556,90.9226244826744,88.99217479995164,False,False,True,True,748.32171102743,736.271012578822,67.2485384269276,65.4537962850824,No-action,False
17,836.9757722339559,842.5516671678647,787.0723880627407,780.108785528086,417.23453311353586,422.18259826457574,89.4197829714628,88.08436862872136,87.90103632461269,87.1307192458172,False,True,True,True,819.069073014284,849.805485638277,53.8702156235689,57.6128556122312,Open_Top,True
18,786.5764170751868,774.2328792536621,718.7852358605156,721.1630851769528,228.9575712131666,219.36808320604382,88.00849194025565,88.76987028499802,90.74091754036066,89.55018954172074,True,False,True,True,785.942929342246,731.578298029247,71.8165346557582,66.6268917457282,Close_Top,False
19,845.8035918076654,841.8926744816171,776.8692441131695,778.4204626991041,113.5895455015637,112.88147657022812,85.66633547918867,87.43989802140462,86.11731954307584,88.20556968562931,False,True,True,True,772.816916315686,835.942754688057,76.0926153890745,81.9151332277612,Open_Top,True
20,787.851059216876,778.5658258815554,719.5392299462416,726.0785202273785,225.10418696151146,223.5396438075497,88.01440959638852,87.93514513387112,85.97923366696331,86.38924048214511,True,False,True,True,786.848818059731,735.930633187534,69.9454073012959,65.8281576245008,Close_Top,True
21,816.3144979574155,823.7149257230434,770.4249459584994,757.4029728337255,174.0702834295859,172.36660630463268,89.80927819146663,86.86586045450275,90.61724181901081,86.0339342466926,False,True,True,True,758.65537244555,819.97218924552,74.2478358372413,75.6721143949059,Open_Top,False
22,789.8006592791182,775.8799924270303,722.0310784818516,722.617377457069,223.6135391823749,226.80762373055248,88.93548644321095,89.44269254858834,89.05511083477468,90.56872236227228,True,False,True,True,788.83497589935,779.935054656513,72.1399467164215,72.526170337956,Close_Top,True
23,415.41901880381994,422.2662037705769,360.43702550129706,355.72590303539937,228.291173845932,228.132831537307,91.03540225005243,88.28377409941467,89.8727215135861,88.87342352989133,False,False,True,True,433.990214273571,437.664441385394,4.91742107695336,4.924339286688,No-action,False
24,838.8961047546859,846.6899000623984,779.2264064072183,788.2251386775187,230.269034046673,221.99215275375073,87.48827641895377,87.36132564036261,91.55705694017746,88.81939007890402,False,False,True,True,839.080204097075,846.623130893718,76.1932678982466,75.8638904122635,No-action,False
25,781.5191251382423,778.6770933500452,715.7098211070823,725.5324076529226,229.40586977725252,228.03466741838912,83.6025232562446,90.09722093798275,90.58383448124512,87.23470714391924,False,False,True,True,781.736290822146,782.71317359906,69.190026132635,71.2057877778912,No-action,False
26,832.7306443855007,823.5383094051846,771.7182044568403,780.5354844803107,249.98527880500282,251.90220965600952,85.94219257772454,86.54108367054017,86.56263005482525,85.74084202464985,False,True,True,True,833.560171924996,829.976233274214,71.0079936331871,70.8043904258671,Open_Top,False
